"A.","Journal","ISSN","Status","Notes"
"â\u008A\u008A","Journal of Demographic Economics","2054-0892 (print) 2054-0906 (web)","Ongoing",""
"","Journal of Dentofacial Anomalies and Orthodontics","2110-5715","Ongoing",""
"â\u008A\u008A","Journal of Developmental Origins of Health and Disease","2040-1744 (print) 2040-1752 (web)","Ongoing",""
"â\u008A\u008A","Journal of Diagnostic Radiography and Imaging","1460-4728 (print) 1467-1123 (web)","Ceased (2006)",""
"","Journal of East Asian Studies","1598-2408 (print) 2234-6643 (web)","Ongoing",""
"â\u008A\u008A","The Journal of Ecclesiastical History","0022-0469 (print) 1469-7637 (web)","Ongoing",""
"â\u008A\u008A","The Journal of Economic History","0022-0507 (print) 1471-6372 (web)","Ongoing",""
"","Journal of Experimental Political Science","2052-2630 (print) 2052-2649 (web)","Ongoing",""
"","Journal of Financial and Quantitative Analysis","0022-1090 (print) 1756-6916 (web)","Ongoing",""
"â\u008A\u008A","Journal of Fluid Mechanics","0022-1120 (print) 1469-7645 (web)","Ongoing",""
"â\u008A\u008A","Journal of French Language Studies","0959-2695 (print) 1474-0079 (web)","Ongoing",""
"â\u008A\u008A","Journal of Functional Programming","0956-7968 (print) 1469-7653 (web)","Ongoing",""
"â\u008A\u008A","Journal of Germanic Linguistics","1470-5427 (print) 1475-3014 (web)","Ongoing","Formerly American Journal of Germanic Linguistics and Literatures, v 1â\u0080\u009312 (1989â\u0080\u00932000)"
"â\u008A\u008A","The Journal of the Gilded Age and Progressive Era","1537-7814 (print) 1943-3557 (web)","Ongoing",""
"â\u008A\u008A","Journal of Global History","1740-0228 (print) 1740-0236 (web)","Ongoing",""
"","The Journal of Hellenic Studies","0075-4269 (print) 2041-4099 (web)","Ongoing",""
"â\u008A\u008A","Journal of Helminthology","0022-149X (print) 1475-2697 (web)","Ongoing",""
"","Journal of the History of Economic Thought","1053-8372 (print) 1469-9656 (web)","Ongoing","Formerly History of Economics Society Bulletin, v. 1â\u0080\u009311 (1979â\u0080\u009389)"
"","Journal of Hospitality and Tourism Management","1447-6770 (print) 1839-5260 (web)","Ongoing","From 2013 the journal is published by Elsevier on ScienceDirect"
"","Journal of the Institute of Actuaries","0020-2681","Ceased (1994)","Replaced by the British Actuarial Journal"
"â\u008A\u008A","Journal of the Institute of Mathematics of Jussieu","1474-7480 (print) 1475-3030 (web)","Ongoing",""
"â\u008A\u008A","Journal of Institutional Economics","1744-1374 (print) 1744-1382 (web)","Ongoing",""
"â\u008A\u008A","Journal of the International Neuropsychological Society","1355-6177 (print) 1469-7661 (web)","Ongoing",""
"","Journal of the International Phonetic Association","0025-1003 (print) 1475-3502 (web)","Ongoing",""
"","Journal of K-Theory","1865-2433 (print) 1865-5394 (web)","Ceased (2014)",""
"â\u008A\u008A","The Journal of Laryngology & Otology","0022-2151 (print) 1748-5460 (web)","Ongoing","Formerly The Journal of Laryngology and Rhinology, v. 1â\u0080\u00935 (1887â\u0080\u009391) The Journal of Laryngology, Rhinology, and Otology, v. 6â\u0080\u009335 (1892â\u0080\u00931920)"
"â\u008A\u008A","Journal of Latin American Studies","0022-216X (print) 1469-767X (web)","Ongoing",""
"â\u008A\u008A","Journal of Law and Religion","0748-0814 (print) 2163-3088 (web)","Ongoing",""
"â\u008A\u008A","Journal of Linguistic Geography","2049-7547","Ongoing",""
"â\u008A\u008A","Journal of Linguistics","0022-2267 (print) 1469-7742 (web)","Ongoing",""
"","Journal of Management & Organization","1833-3672 (print) 1839-3527 (web)","Ongoing","Formerly Journal of the Australian and New Zealand Academy of Management, v. 1â\u0080\u009311 (1995â\u0080\u00932005)"
"â\u008A\u008A","Journal of the Marine Biological Association of the United Kingdom","0025-3154 (print) 1469-7769 (web)","Ongoing",""
"â\u008A\u008A","Journal of Materials Research","0884-2914 (print) 2044-5326 (web)","Ongoing",""
"â\u008A\u008A","Journal of Mechanics","1727-7191 (print) 1811-8216 (web)","Ongoing",""
"â\u008A\u008A","The Journal of Modern African Studies","0022-278X (print) 1469-7777 (web)","Ongoing",""
"â\u008A\u008A","The Journal of Navigation","0373-4633 (print) 1469-7785 (web)","Ongoing",""
"","Journal of Nutritional Science","2048-6790","Ongoing",""
"â\u008A\u008A","Journal of Pacific Rim Psychology","1834-4909","Ongoing",""
"â\u008A\u008A","Journal of Paleontology","0022-3360 (print) 1937-2337 (web)","Ongoing",""
"â\u008A\u008A","Journal of Pension Economics and Finance","1474-7472 (print) 1475-3022 (web)","Ongoing",""
"","Journal of the Plainsong & Medieval Music Society","0143-4918 (print) 0143-4918 (web)","Ceased (1990)","Now published as Plainsong & Medieval Music"
"â\u008A\u008A","Journal of Plasma Physics","0022-3778 (print) 1469-7807 (web)","Ongoing",""
"","Journal of Policy History","0898-0306 (print) 1528-4190 (web)","Ongoing",""
"â\u008A\u008A","Journal of Psychiatric Intensive Care","1742-6464 (print) 1744-2206 (web)","Ongoing",""
"","Journal of Psychologists and Counsellors in Schools","1037-2911 (print) 1839-2520 (web)","Ongoing","Formerly Queensland Journal of Guidance and Counselling, v. 1â\u0080\u00934 (1987â\u0080\u009390) Australian Journal of Guidance and Counselling, v. 5â\u0080\u009324 (1991â\u0080\u00932014)"
"â\u008A\u008A","Journal of Public Policy","0143-814X (print) 1469-7815 (web)","Ongoing",""
"","Journal of Race, Ethnicity, and Politics","2056-6085","Ongoing",""
"â\u008A\u008A","Journal of Radiotherapy in Practice","1460-3969 (print) 1467-1131 (web)","Ongoing",""
"â\u008A\u008A","Journal of Relationships Research","1838-0956","Ongoing",""
"","Journal of Roman Archaeology","1047-7594 (print) 2331-5709 (web)","Ongoing",""
"","The Journal of Roman Studies","0075-4358 (print) 1753-528X (web)","Ongoing",""
"â\u008A\u008A","Journal of the Royal Asiatic Society","1356-1863 (print) 1474-0591 (web)","Ongoing","Formerly Journal of the Royal Asiatic Society of Great Britain and Ireland, v. 1â\u0080\u009320 (1834â\u0080\u009363) Journal of the Royal Asiatic Society of Great Britain and Ireland, New Series, v. 1â\u0080\u0093122 (1864â\u0080\u00931990) Transactions of the Royal Asiatic Society, v. 1â\u0080\u00933 (1827â\u0080\u009334)"
"â\u008A\u008A","Journal of Smoking Cessation","1834-2612","Ongoing",""
"â\u008A\u008A","Journal of Social Policy","0047-2794 (print) 1469-7823 (web)","Ongoing",""
"â\u008A\u008A","Journal of the Society for American Music","1752-1963 (print) 1752-1971 (web)","Ongoing",""
"","Journal of Southeast Asian History","0217-7811 (print) 0217-7811 (web)","Ceased (1969)","Replaced with Journal of Southeast Asian Studies"
"","Journal of Southeast Asian Studies","0022-4634 (print) 1474-0680 (web)","Ongoing","Formerly Journal of Southeast Asian History, v. 1â\u0080\u009310 (1960â\u0080\u00939)"
"","Journal of the Staple Inn Actuarial Society","2049-9299","Ceased (1993)","Formerly Journal of the Institute of Actuaries Students' Society, v. 1â\u0080\u009330 (1911â\u0080\u009387)"
"","Journal of Symbolic Logic","0022-4812 (print) 1943-5886 (web)","Ongoing",""
"â\u008A\u008A","Journal of Tropical Ecology","0266-4674 (print) 1469-7831 (web)","Ongoing",""
"â\u008A\u008A","Journal of Tropical Psychology","1838-9902","Ongoing",""
"","Journal of Wine Economics","1931-4361 (print) 1931-437X (web)","Ongoing",""
"","Journal of Zoology","0952-8369 (print) 1469-7998 (web)","Ceased (2005)",""
"","Kantian Review","1369-4154 (print) 2044-2394 (web)","Ongoing",""
"â\u008A\u008A","The Knowledge Engineering Review","0269-8889 (print) 1469-8005 (web)","Ongoing",""
"â\u008A\u008A","Language and Cognition","1866-9808 (print) 1866-9859 (web)","Ongoing",""
"â\u008A\u008A","Language in Society","0047-4045 (print) 1469-8013 (web)","Ongoing",""
"â\u008A\u008A","Language Teaching","0261-4448 (print) 1475-3049 (web)","Ongoing","Formerly Language Teaching: Abstracts, v. 1â\u0080\u00937 (1968â\u0080\u009374) Language Teaching & Linguistics: Abstracts, v. 8â\u0080\u009314 (1975â\u0080\u009381)"
"â\u008A\u008A","Language Variation and Change","0954-3945 (print) 1469-8021 (web)","Ongoing",""
"â\u008A\u008A","Laser and Particle Beams","0263-0346 (print) 1469-803X (web)","Ongoing",""
"","Law and History Review","0738-2480 (print) 1939-9022 (web)","Ongoing",""
"â\u008A\u008A","Legal Information Management","1472-6696 (print) 1741-2021 (web)","Ongoing",""
"","Legal Theory","1352-3252 (print) 1469-8048 (web)","Ongoing",""
"â\u008A\u008A","Leiden Journal of International Law","0922-1565 (print) 1478-9698 (web)","Ongoing",""
"","Libyan Studies","0263-7189 (print) 2052-6148 (web)","Ongoing","Formerly Annual report - Society for Libyan Studies, v. 1â\u0080\u00939 (1969â\u0080\u009378)"
"â\u008A\u008A","The Lichenologist","0024-2829 (print) 1096-1135 (web)","Ongoing",""
"","LMS Journal of Computation and Mathematics","1461-1570 (print) 1461-1570 (web)","Ongoing",""
"â\u008A\u008A","Macroeconomic Dynamics","1365-1005 (print) 1469-8056 (web)","Ongoing",""
"â\u008A\u008A","Management and Organization Review","1740-8776 (print) 1740-8784 (web)","Ongoing",""
"â\u008A\u008A","Marine Biodiversity Records","1755-2672","Ongoing",""
"","The Mathematical Gazette","0025-5572 (print) 2056-6328 (web)","Ongoing",""
"","Mathematical Modelling of Natural Phenomena","0973-5348 (print) 1760-6101 (web)","Ongoing",""
"","Mathematical Proceedings of the Cambridge Philosophical Society","0305-0041 (print) 1469-8064 (web)","Ongoing",""
"â\u008A\u008A","Mathematical Structures in Computer Science","0960-1295 (print) 1469-8072 (web)","Ongoing",""
"â\u008A\u008A","Mathematika","0025-5793 (print) 2041-7942 (web)","Ongoing",""
"â\u008A\u008A","Mechanics & Industry","2257-7777 (print) 2257-7750 (web)","Ongoing",""
"â\u008A\u008A","Medical History","0025-7273 (print) 2048-8343 (web)","Ongoing",""
"","Medieval Philosophy and Theology","1475-4525","Ongoing","From 2006 the journal is published by Cornell University Library's Digital Publishing Initiative"
"","Metallurgical Research & Technology","2271-3646 (print) 2271-3654 (web)","Ongoing","Formerly Revue de MÃ©tallurgie"
"â\u008A\u008A","Microscopy and Microanalysis","1431-9276 (print) 1435-8115 (web)","Ongoing",""
"â\u008A\u008A","Modern Asian Studies","0026-749X (print) 1469-8099 (web)","Ongoing",""
"â\u008A\u008A","Modern Intellectual History","1479-2443 (print) 1479-2451 (web)","Ongoing",""
"â\u008A\u008A","Modern Italy","1353-2944 (print) 1469-9877 (web)","Ongoing",""
"","MRS Bulletin","0883-7694 (print) 1938-1425 (web)","Ongoing","Formerly Materials Research Society Newsletter, v. 1â\u0080\u00936 (1974â\u0080\u009380)"
"â\u008A\u008A","MRS Communications","2159-6859 (print) 2159-6867 (web)","Ongoing",""
"â\u008A\u008A","MRS Energy & Sustainability - A Review Journal","2329-2229 (print) 2329-2237 (web)","Ongoing",""
"","MRS Internet Journal of Nitride Semiconductor Research","1092-5783","Ceased (2005)",""
"","MRS Online Proceedings Library","1946-4274","Ongoing",""
"","Nagoya Mathematical Journal","0027-7630 (print) 2152-6842 (web)","Ongoing",""
"â\u008A\u008A","Natural Language Engineering","1351-3249 (print) 1469-8110 (web)","Ongoing",""
"","Netherlands International Law Review","0165-070X (print) 1741-6191 (web)","Ongoing","Formerly Nederlands Tijdschrift voor Internationaal Recht, v. 1â\u0080\u009321 (1953â\u0080\u009374) From 2015 the journal is published by Springer Publishing"
"","Netherlands Journal of Geosciences","0016-7746 (print) 1573-9708 (web)","Ongoing",""
"","Netherlands Yearbook of International Law","0167-6768 (print) 1574-0951 (web)","Ongoing",""
"â\u008A\u008A","Network Science","2050-1242 (print) 2050-1250 (web)","Ongoing",""
"â\u008A\u008A","Neuron Glia Biology","1740-925X (print) 1741-0533 (web)","Ongoing",""
"â\u008A\u008A","New Perspectives on Turkey","0896-6346 (print) 1305-3299 (web)","Ongoing",""
"","New Surveys in the Classics","0533-2451 (print) 2052-8531 (web)","Ongoing",""
"â\u008A\u008A","New Testament Studies","0028-6885 (print) 1469-8145 (web)","Ongoing",""
"â\u008A\u008A","New Theatre Quarterly","0266-464X (print) 1474-0613 (web)","Ongoing",""
"â\u008A\u008A","Nineteenth-Century Music Review","1479-4098 (print) 2044-8414 (web)","Ongoing",""
"â\u008A\u008A","Nordic Journal of Linguistics","0332-5865 (print) 1502-4717 (web)","Ongoing",""
"","Numerical Mathematics: Theory, Methods and Applications","1004-8979 (print) 2079-7338 (web)","Ongoing",""
"","Nurse Prescriber","1467-1158","Ceased (2007)",""
"â\u008A\u008A","Nutrition Research Reviews","0954-4224 (print) 1475-2700 (web)","Ongoing",""
"â\u008A\u008A","Organised Sound","1355-7718 (print) 1469-8153 (web)","Ongoing",""
"â\u008A\u008A","Oryx","0030-6053 (print) 1365-3008 (web)","Ongoing",""
"â\u008A\u008A","Paleobiology","0094-8373 (print) 1938-5331 (web)","Ongoing",""
"â\u008A\u008A","Palliative & Supportive Care","1478-9515 (print) 1478-9523 (web)","Ongoing",""
"","Papers of the American Society of Church History","1079-9028 (print) 1079-9028 (web)","Ceased (1934)","Replaced by Church History"
"","Papers of the British School at Rome","0068-2462 (print) 2045-239X (web)","Ongoing",""
"â\u008A\u008A","Parasitology","0031-1820 (print) 1469-8161 (web)","Ongoing",""
"","Parasitology Open","2055-7094 (print) 2055-7094 (web)","Ongoing",""
"â\u008A\u008A","PASA - Publications of the Astronomical Society of Australia","1323-3580 (print) 1448-6083 (web)","Ongoing",""
"â\u008A\u008A","Perspectives on Politics","1537-5927 (print) 1541-0986 (web)","Ongoing",""
"","Philosophy","0031-8191 (print) 1469-817X (web)","Ongoing",""
"â\u008A\u008A","Phonology","0952-6757 (print) 1469-8188 (web)","Ongoing","Formerly Phonology Yearbook, v. 1â\u0080\u00934 (1984â\u0080\u00937)"
"â\u008A\u008A","Plainsong and Medieval Music","0961-1371 (print) 1474-0087 (web)","Ongoing","Formerly Journal of the Plainsong & Mediaeval Music Society, v. 1â\u0080\u009313 (1978â\u0080\u009390)"
"â\u008A\u008A","Plant Genetic Resources","1479-2621 (print) 1479-263X (web)","Ongoing",""
"â\u008A\u008A","Polar Record","0032-2474 (print) 1475-3057 (web)","Ongoing",""
"â\u008A\u008A","Political Science Research and Methods","2049-8470 (print) 2049-8489 (web)","Ongoing",""
"","The Political Science Teacher","0896-0828 (print) 0896-0828 (web)","Ongoing",""
"","Politics & Gender","1743-923X (print) 1743-9248 (web)","Ongoing",""
"","Politics and the Life Sciences","0730-9384 (print) 1471-5457 (web)","Ongoing",""
"","Politics and Religion","1755-0483 (print) 1755-0491 (web)","Ongoing",""
"â\u008A\u008A","Popular Music","0261-1430 (print) 1474-0095 (web)","Ongoing",""
"","Powder Diffraction","0885-7156 (print) 1945-7413 (web)","Ongoing",""
"","Prehospital and Disaster Medicine","1049-023X (print) 1945-1938 (web)","Ongoing","Formerly Journal of the World Association for Emergency and Disaster Medicine, v. 1â\u0080\u00933 (1985â\u0080\u00937)"
"â\u008A\u008A","Primary Health Care Research & Development","1477-1128","Ongoing",""
"â\u008A\u008A","Probability in the Engineering and Informational Sciences","0269-9648 (print) 1469-8951 (web)","Ongoing",""
"","Proceedings of the American Political Science Association","1520-8605","Ceased (1914)","Replaced by the American Political Science Review"
"","Proceedings of the British Society of Animal Production (1972)","0308-2296 (print) 0308-2290 (web)","Ceased (1972)",""
"â\u008A\u008A","Proceedings of the Edinburgh Mathematical Society","0013-0915 (print) 1464-3839 (web)","Ongoing",""
"","Proceedings of the International Astronomical Union","1743-9213 (print) 1743-9221 (web)","Ongoing",""
"â\u008A\u008A","Proceedings of the Nutrition Society","0029-6651 (print) 1475-2719 (web)","Ongoing",""
"â\u008A\u008A","Proceedings of the Prehistoric Society","0079-497x (print) 2050-2729 (web)","Ongoing","Formerly Proceedings of the Prehistoric Society of East Anglia, v. 1â\u0080\u00937 (1911â\u0080\u009334)"
"","Proceedings of the Prehistoric Society of East Anglia","0958-8418","Ceased (1934)","Replaced by Proceedings of the Prehistoric Society"
"","Proceedings of the Royal Society of Edinburgh","0370-1646 (print) 0370-1646 (web)","Ceased (1940)",""
"","Proceedings of the Royal Society of Edinburgh Section B: Biological Sciences","0269-7270 (print) 0269-7270 (web)","Ongoing","Formerly Proceedings of the Royal Society of Edinburgh, v. 1â\u0080\u009360 (1844â\u0080\u00931940) Proceedings of the Royal Society of Edinburgh. Section B. Biology, v. 61â\u0080\u009374 (1941â\u0080\u009374) Proceedings of the Royal Society of Edinburgh. Section B. Natural Environment, v. 75 (1975â\u0080\u00936)"
"â\u008A\u008A","Proceedings of the Royal Society of Edinburgh, Section: A Mathematics","0308-2105 (print) 1473-7124 (web)","Ongoing","Formerly Proceedings of the Royal Society of Edinburgh, v. 1â\u0080\u009360 (1844â\u0080\u00931940) Proceedings of the Royal Society of Edinburgh, Section A: Mathematical and Physical Sciences, v. 61â\u0080\u009371 (1941â\u0080\u009374)"
"","Proceedings of the Society of Antiquaries of London","0950-7973","Ceased (1920)","Now published as The Antiquaries Journal"
"","Progress in Neurotherapeutics and Neuropsychopharmacology","1748-2321 (print) 1748-233X (web)","Ceased (2008)",""
"","Prospects","0361-2333 (print) 1471-6399 (web)","Ceased (2005)",""
"â\u008A\u008A","PS: Political Science & Politics","1049-0965 (print) 1537-5935 (web)","Ongoing","Formerly PS, v. 1â\u0080\u009320 (1968â\u0080\u009387)"
"â\u008A\u008A","Psychological Medicine","0033-2917 (print) 1469-8978 (web)","Ongoing",""
"","Psychological Medicine Monograph Supplement","0264-1801 (print) 0264-1801 (web)","Ceased (1993)",""
"â\u008A\u008A","Public Health Nutrition","1368-9800 (print) 1475-2727 (web)","Ongoing",""
"â\u008A\u008A","Quarterly Reviews of Biophysics","0033-5835 (print) 1469-8994 (web)","Ongoing",""
"","Queensland Journal of Guidance and Counselling","1037-2911","Ceased (1990)","Replaced by Australian Journal of Guidance and Counselling"
"","Queensland Review","1321-8166 (print) 2049-7792 (web)","Ongoing",""
"â\u008A\u008A","Radioprotection","0033-8451 (print) 1769-700X (web)","Ongoing",""
"","RAIRO - Operations Research","0399-0559 (print) 1290-3868 (web)","Ongoing",""
"","RAIRO - Theoretical Informatics and Applications","0988-3754 (print) 1290-385X (web)","Ongoing",""
"","Ramus","0048-671x (print) 2202-932X (web)","Ongoing",""
"â\u008A\u008A","ReCALL","0958-3440 (print) 1474-0109 (web)","Ongoing",""
"","Louvain Economic Review Recherches Economiques de Louvain","0770-4518 (print) 1782-1495 (web)","Ceased (2014)","Replaced by Journal of Demographic Economics"
"â\u008A\u008A","Religious Studies","0034-4125 (print) 1469-901X (web)","Ongoing",""
"â\u008A\u008A","Renewable Agriculture and Food Systems","1742-1705 (print) 1742-1713 (web)","Ongoing","Formerly American Journal of Alternative Agriculture, v. 1â\u0080\u009318 (1986â\u0080\u00932003)"
"","Reproductive Medicine Review","0962-2799 (print) 1469-9028 (web)","Ceased (2004)",""
"","Review of International Studies","0260-2105 (print) 1469-9044 (web)","Ongoing","Formerly British Journal of International Studies, v. 1â\u0080\u00936 (1975â\u0080\u009380)"
"","Review of Middle East Studies","2151-3481 (print) 2329-3225 (web)","Ongoing",""
"","The Review of Politics","0034-6705 (print) 1748-6858 (web)","Ongoing",""
"","The Review of Symbolic Logic","1755-0203 (print) 1755-0211 (web)","Ongoing",""
"â\u008A\u008A","Reviews in Clinical Gerontology","1469-9036","Ongoing",""
"","Revista de Historia EconÃ³mica","0212-6109 (print) 2041-3335 (web)","Ongoing",""
"","Revista Internacional de la Cruz Roja","0250-569X (print) 0250-569X (web)","Ceased (1999)","One of several precursors to what is now published as the International Review of the Red Cross.[3]"
"â\u008A\u008A","Robotica","0263-5747 (print) 1469-8668 (web)","Ongoing",""
"","Royal Institute of Philosophy Supplements","1358-2461 (print) 1755-3555 (web)","Ongoing",""
"â\u008A\u008A","Rural History","0956-7933 (print) 1474-0656 (web)","Ongoing",""
"â\u008A\u008A","Science in Context","0269-8897 (print) 1474-0664 (web)","Ongoing",""
"â\u008A\u008A","Scottish Journal of Theology","0036-9306 (print) 1475-3065 (web)","Ongoing",""
"â\u008A\u008A","Seed Science Research","0960-2585 (print) 1475-2735 (web)","Ongoing",""
"","Social Anthropology","0964-0282 (print) 1469-8676 (web)","Ongoing","From 2006 the journal is published by Blackwell Publishing"
"","Social Philosophy and Policy","0265-0525 (print) 1471-6437 (web)","Ongoing",""
"â\u008A\u008A","Social Policy and Society","1474-7464 (print) 1475-3073 (web)","Ongoing",""
"â\u008A\u008A","Social Science History","0145-5532 (print) 1527-8034 (web)","Ongoing",""
"","South Pacific Journal of Psychology","0257-5434 (print) 0257-5434 (web)","Ongoing",""
"â\u008A\u008A","The Spanish Journal of Psychology","1988-2904","Ongoing",""
"","Speculum","0038-7134 (print) 2040-8072 (web)","Ongoing",""
"â\u008A\u008A","Studies in American Political Development","0898-588X (print) 1469-8692 (web)","Ongoing",""
"â\u008A\u008A","Studies in Church History","0424-2084 (print) 2059-0644 (web)","Ongoing",""
"â\u008A\u008A","Studies in Second Language Acquisition","0272-2631 (print) 1470-1545 (web)","Ongoing",""
"","Symposium - International Astronomical Union","0074-1809","Ongoing",""
"â\u008A\u008A","TEMPO","0040-2982 (print) 1478-2286 (web)","Ongoing",""
"","Thalamus & Related Systems","1472-9288 (print) 1744-8107 (web)","Ceased (2008)",""
"","Theatre Research International","0307-8833 (print) 1474-0672 (web)","Ongoing",""
"","Theatre Survey","0040-5574 (print) 1475-4533 (web)","Ongoing",""
"â\u008A\u008A","Theory and Practice of Logic Programming","1471-0684 (print) 1475-3081 (web)","Ongoing",""
"","Think","1477-1756 (print) 1755-1196 (web)","Ongoing",""
"","TRaNS: Trans-Regional and -National Studies of Southeast Asia","2051-364X (print) 2051-3658 (web)","Ongoing",""
"","Transactions of the Actuarial Society of Edinburgh","2046-0562","Ceased (1901)","Replaced by Transactions of the Faculty of Actuaries"
"","Transactions of the Faculty of Actuaries","0071-3686","Ceased (1994)",""
"","Transactions of the International Astronomical Union","0251-107X","Ongoing",""
"","Transactions of the Royal Asiatic Society of Great Britain and Ireland","0950-4737 (print) 0950-4737 (web)","Ceased (1834)","Replaced by Journal of the Royal Asiatic Society"
"â\u008A\u008A","Transactions of the Royal Historical Society","0080-4401 (print) 1474-0648 (web)","Ongoing",""
"â\u008A\u008A","Transnational Environmental Law","2047-1025 (print) 2047-1033 (web)","Ongoing",""
"â\u008A\u008A","Twentieth-Century Music","1478-5722 (print) 1478-5730 (web)","Ongoing",""
"","Twin Research and Human Genetics","1832-4274 (print) 1839-2628 (web)","Ongoing","Formerly Acta geneticae medicae et gemellologiae, v. 1â\u0080\u009327 (1952â\u0080\u00931978) Acta geneticae medicae et gemellologiae: twin research, v. 28â\u0080\u009347 (1979â\u0080\u00931998) Twin Research, v. 1â\u0080\u00937 (1998â\u0080\u00932004)"
"â\u008A\u008A","Urban History","0963-9268 (print) 1469-8706 (web)","Ongoing","Formerly Urban History Yearbook, v. 1â\u0080\u009318 (1974â\u0080\u009391)"
"â\u008A\u008A","Utilitas","0953-8208 (print) 1741-6183 (web)","Ongoing",""
"â\u008A\u008A","Victorian Literature and Culture","1060-1503 (print) 1470-1553 (web)","Ongoing","Formerly Browning Institute Studies, v. 1â\u0080\u009318 (1973â\u0080\u009390)"
"â\u008A\u008A","Visual Neuroscience","0952-5238 (print) 1469-8714 (web)","Ongoing",""
"â\u008A\u008A","Wireless Power Transfer","2052-8418 (print) 2052-8418 (web)","Ongoing",""
"","World Politics","0043-8871 (print) 1086-3338 (web)","Ongoing",""
"â\u008A\u008A","World Trade Review","1474-7456 (print) 1475-3138 (web)","Ongoing",""
"","World's Poultry Science Journal","0043-9339 (print) 1743-4777 (web)","Ongoing","Formerly International Review of Poultry Science, v. 1â\u0080\u009313 (1928â\u0080\u009340)"
"","Yearbook of International Humanitarian Law","1389-1359 (print) 1574-096X (web)","Ongoing","From 2015 this journal is published by Springer Publishing"
"â\u008A\u008A","Zygote","0967-1994 (print) 1469-8730 (web)","Ongoing",""

