"Saint","Date of birth","Date of death","Date of canonization","Tradition"
"Saint","Date of birth","Date of death","Date of canonization","Anglican","Oriental Orthodox","Eastern Orthodox","Roman Catholic","total"
"Mary MacKillop","","1909","17 Oct 2010","","","","Yes","1"
"Matthew I of Alexandria","","1408","","","Yes","","","1"
"Maurontius of Douai","","c. 700","","","","","Yes","1"
"Maximillian Kolbe","","1941","","Yes","","","Yes","2"
"Maximus of Turin","","465","","","","Yes","Yes","2"
"Maximus the Confessor","","662","","","","Yes","Yes","2"
"Maximus the Greek","","1556","","","","Yes","","1"
"Methodius equal to the Apostles, teacher of the Slavs","","885","","Yes","","Yes","Yes","3"
"Michael Dinh-Hy Ho","","1857","","","","","Yes","1"
"Michael de Sanctis","","1625","","","","","Yes","1"
"Miguel Febres Cordero","","1910","","","","","Yes","1"
"Milburga of Wenlock","","715","","Yes","","Yes","Yes","3"
"Modwen","","7th century","","","","","","0"
"Moninne","","518","","","","Yes","Yes","2"
"Mother Maria","","1945","","","Yes","Yes","","2"
"Narcisa de Jesus Martillo Moran","","1869","","","","","Yes","1"
"Naum of Preslav","","23 Dec 910","","","","Yes","","1"
"Nectan of Hartland","","c. 510","","Yes","","","Yes","2"
"Neot","","c. 870","","","","Yes","Yes","2"
"Nicephorus of Constantinople","","828","","","","Yes","Yes","2"
"Pope Nicholas I","","867","","","Yes","Yes","Yes","3"
"Nicholas of FlÃ¼e","","1487","","","","","Yes","1"
"Nicholas of Japan","","1912","","","","Yes","","1"
"Nicholas of Lesvos","","1463","","","","Yes","","1"
"Tsar Nicholas II","1868","1918","","","","Yes","","1"
"Nikola Tavelic","","1391","","","","","Yes","1"
"Nikolai of Å½ica","4 Jan 1881","18 Mar 1956","24 May 2003","","","Yes","","1"
"Nil Sorsky","","1508","","","","Yes","","1"
"Nilus the Younger","","1005","","","","Yes","Yes","2"
"Nimattullah Kassab Al-Hardini","","1858","","","","","Yes","1"
"NoÃ«l Chabanel","","1649","","","","","Yes","1"
"Norbert of Xanten","","1134","","","","","Yes","1"
"Nothelm of Canterbury","","739","","Yes","","Yes","Yes","3"
"Nuno de Santa Maria Ã\u0081lvares Pereira","","1431","","","","","Yes","1"
"Odile","","720","","","","Yes","Yes","2"
"Odo of Cluny","","942","","","","Yes","Yes","2"
"Olaf II of Norway","","1030","","","","","Yes","1"
"Olga of Kiev","","11 Jul 969","","","","Yes","","1"
"Olga of Russia","1895","1918","","","","Yes","","1"
"Opportuna of Montreuil","","770","","","","","Yes","1"
"Oswald of Northumbria","","642","","Yes","","Yes","Yes","3"
"Osyth","","653","","","","Yes","Yes","2"
"Ouen (Dado)","","686","","","","Yes","Yes","2"
"Oliver Plunkett","","1681","","","","","","0"
"Paraskeva the Younger","","11th century","","","","Yes","","1"
"Pope Paschal I","","824","","","","Yes","Yes","2"
"Paschal Baylon","","1592","","","","","Yes","1"
"Patrick","","493","None","Yes","Yes","Yes","Yes","4"
"Pope Paul I","","28 Jun 767","","","","Yes","Yes","2"
"Paul Chong Hasang","","1839","","","","","Yes","1"
"Paul Miki","","1597","","","","","Yes","1"
"Paul of the Cross","","1775","","","","","Yes","1"
"Paulina of the Agonizing Heart of Jesus","","1942","","","","","Yes","1"
"Paulinus of York","","584","","Yes","","Yes","Yes","3"
"Pavel of Taganrog","","1879","","","","Yes","","1"
"Pedro Calungsod","","1672","","","","","Yes","1"
"Peregrine Laziosi","","1345","","","","","Yes","1"
"Peter the Aleut","","c. 1815","","","","Yes","","1"
"Peter Canisius","","1597","","","","","Yes","1"
"Peter of Capitolias","","715","","","","Yes","Yes","2"
"Peter Chanel","","1841","","","","","Yes","1"
"Peter Claver","","1654","","","","","Yes","1"
"Peter Julian Eymard","","1868","","","","","Yes","1"
"Petroc","","564","","Yes","","Yes","Yes","3"
"Petrus Canisius","","1597","","","","","Yes","1"
"Philip of Agira","","c. 5th century","","","","Yes","Yes","2"
"Philip Benizi de Damiani","","1285","","","","","Yes","1"
"Philothei","","1589","","","","Yes","","1"
"Photios of Constantinople","","893","","","","Yes","","1"
"Pierre Borie","","1838","","","","","Yes","1"
"Pio of Pietrelcina","25 May 1887","23 Sep 1968","16 Jun 2002","","","","Yes","1"
"Piran","","6th century","","","","Yes","Yes","2"
"Pope Pius I","","154","","","","","Yes","1"
"Pope Pius V","17 Jan 1504","1 May 1572","","","","","Yes","1"
"Pius X","","1914","","","","","Yes","1"
"Praejectus","","676","","","","Yes","Yes","2"
"PrÃ¦textatus (Bishop of Rouen)","","586","","","","","Yes","1"
"Pyr","","6th century","","","","","Yes","1"
"Quinidius","","579","","","","","Yes","1"
"Quintian","","c. 525","","","","","Yes","1"
"Rabanus Maurus","","856","","","","","Yes","1"
"Rainerius","","c. 1160","","","","","Yes","1"
"Ralph Sherwin","1550","1581","1970","","","","Yes","1"
"Raphael of Lesvos[citation needed]","","1463","","","","Yes","","1"
"Rafqa Pietra Choboq Ar-RayÃ¨s","","1914","","","","","Yes","1"
"Raphael Kalinowski","","1907","","","","","Yes","1"
"Raphael of Brooklyn","","1915","","","","Yes","","1"
"Raymond of Penafort","","1275","","","","","Yes","1"
"Remigius of Reims (or Remy, Remi)","","533","","","","Yes","Yes","2"
"Remigius of Rouen","","771","","","","","Yes","1"
"RenÃ© Goupil","","1642","","","","","Yes","1"
"Richard of Chichester","","1253","","Yes","","","Yes","2"
"Rictrude","","688","","","","","Yes","1"
"Rimbert of Turholt","","888","","","","","Yes","1"
"Rita of Cascia","","1457","","","","","Yes","1"
"Robert Bellarmine","","1621","","","","","Yes","1"
"Roch","","1376","","Yes","","","Yes","2"
"Roger of Cannae","","1129","","","","","Yes","1"
"Rognvald Kali Kolsson","","1158","","","","","Yes","1"
"Romuald","","1027","","","","Yes","Yes","2"
"Roque GonzÃ¡lez de Santa Cruz","","1628","","","","","Yes","1"
"Rosalia","","1166","","","","","Yes","1"
"Rose of Lima","","1617","","","","","Yes","1"
"Rose Venerini","","1728","","","","","Yes","1"
"Sabbas the Sanctified","","531\/532","","","","Yes","Yes","2"
"Sadalberga","","665","","","","","Yes","1"
"Saethryth","","7th century","","","","Yes","","1"
"Salonius","","5th century","","","","","Yes","1"
"Salvius","","c. 580","","","","","Yes","1"
"Samson of Dol","","6th century","","","","","Yes","1"
"Sava of Serbia","","1236","","","Yes","Yes","","2"
"Scholastica","","543","","","","Yes","Yes","2"
"Seaxburh of Ely","","c. 699","","","","","Yes","1"
"Seraphina","","1253","","","","Yes","","1"
"Seraphim of Sarov","","1833","","","","Yes","","1"
"Sergei of Russia","1869","1918","","","","Yes","","1"
"Pope Sergius I","","701","","","Yes","Yes","Yes","3"
"Sergius of Valaam","","10th-14th century","","","","Yes","","1"
"Sergius of Radonezh","","1392","","","","Yes","","1"
"Severinus of Noricum","","482","","","","","Yes","1"
"Sharbel Makhluf","","1898","","","","","Yes","1"
"Sigeberht of East Anglia","","634","","Yes","","","","1"
"Pope Silverius","","537","","","Yes","Yes","Yes","3"
"Simeon Mirotocivi","","1199","","","","Yes","","1"
"Simeon Stylites","","459","","","Yes","Yes","Yes","3"
"Simon the Tanner","","late 10th century","","","Yes","","","1"
"Pope Simplicius","","483","","","","Yes","Yes","2"
"Sophia of Slutsk","","1612","","","","Yes","","1"
"Sophronius of Jerusalem","","638","","","","Yes","","1"
"Stephen of Hungary","","1038","","","","Yes (from 2000)","Yes","2"
"Stephen of Piperi","","1697","","","","Yes","","1"
"Stylianos of Paphlagonia","","c. 6th or 7th century","","","","Yes","","1"
"Swithun of Winchester","","862","","Yes","","Yes","Yes","3"
"Symeon Metaphrastes","","10th century","","","Yes","Yes","","2"
"Symeon the New Theologian","","1022","","","","Yes","","1"
"Pope Symmachus","","514","","","Yes","Yes","Yes","3"
"Tekle Haymanot","","c. 1313","","","Yes","","","1"
"Tarasios of Constantinople","","806","","","","Yes","Yes","2"
"Tathan","","c. 6th century","","","","","","0"
"Tatiana of Russia","1897","1918","","","","Yes","","1"
"Teresa of Avila","","1582","","Yes","","","Yes","2"
"Teresa de los Andes","1900","1920","","","","","Yes","1"
"ThÃ©odore GuÃ©rin","2 Oct 1798","14 May 1856","15 Oct 2006","","","","Yes","1"
"Theodore Romzha","14 Apr 1911","31 Oct 1947","","","","","Yes","1"
"Theodore the Studite","","826","","","Yes","Yes","Yes","3"
"Theodosius of Kiev","","1000 to 1100","","","","Yes","","1"
"Theophan the Recluse","","1894","","","","Yes","","1"
"Theophanes the Confessor","","810s","","","","Yes","Yes","2"
"Therese","1873","1897","","","","","Yes","1"
"Thomas Aquinas","","1274","","Yes","","","Yes","2"
"Thomas Becket","","1170","","Yes","","","Yes","2"
"Thomas More","","1535","","Yes4","","","Yes","2"
"Thorlak Thorhallsson (Ã\u009EorlÃ¡kur Ã\u009EÃ³rhallsson)","","23 Dec 1193","","","","","Yes","1"
"Tikhon of Moscow","","1925","","","","Yes","","1"
"Turibius of Mongrovejo","","1606","","","","","Yes","1"
"Tydfil","","c. 480","","Yes","","","Yes","2"
"Ubald","","1160","","","","","Yes","1"
"Ulrich of Augsburg","","973","","","","Yes","Yes","2"
"Urbicius","","c. 805","","","","","Yes","1"
"Ursicinus of Saint-Ursanne","","625","","","","","Yes","1"
"Ursmar","","713","","","","","Yes","1"
"Ursula LedÃ³chowska","1865","1939","","","","","Yes","1"
"Varghese Payyappilly Palakkappilly","","5 Oct 1929","","","","","Yes","1"
"Varvara Yakovleva","","1918","","","","Yes7","","0.5"
"Venantius Fortunatus","","c. 600 or 609","","","","","Yes","1"
"Veranus of Cavaillon (VÃ©ran)","","590","","","","","Yes","1"
"Veronica of Milan","","13 Jan 1497","","","","","Yes","1"
"Vicelinus","","1154","","","","","Yes","1"
"Vicente Liem de la Paz","","1773","","","","","Yes","1"
"Vincent Ferrer","","1419","","","","","Yes","1"
"Vincent de Paul","","1660","","Yes","","","Yes","2"
"Vergilius of Salzburg","","784","","","","","Yes","1"
"Virginia Centurione Bracelli","","1651","","","","","Yes","1"
"Pope Vitalian","","672","","","","Yes","Yes","2"
"Vietnamese Martyrs","","from 1533 to present","","","","","Yes","1"
"Vitalis of Assisi","","1370","","","","","Yes","1"
"Vitonus","","525","","","","","Yes","1"
"Vladimir of Kiev","","1015","","Yes","","Yes","Yes","3"
"Vladimir Paley","1896","1918","","","","Yes","","1"
"Waningus","","683","","","","","Yes","1"
"Wenceslaus","","935","","","","","Yes","1"
"Werburgh","","699","","","","Yes","Yes","2"
"Wiborada","","926","","","","","Yes","1"
"Wilfrid of Ripon","","709","","Yes","","Yes","Yes","3"
"Willehad of Bremen","","789","","Yes","","","Yes","2"
"William of Perth","","1201","","","","","Yes","1"
"William of York","","1154","","","","","Yes","1"
"Willibrord","","739","","Yes","Yes","Yes","Yes","4"
"Wolfeius","","c. 11th century","","Yes","Yes","Yes","Yes","4"
"Wolfgang of Regensburg","","994","","","","Yes","Yes","2"
"Wolfhelm of Brauweiler","","1091","","","","","Yes","1"
"Wulfram of Sens","","703","","Yes","","","Yes","2"
"Xenia the Righteous of Rome","","5th century","","","","Yes","","1"
"Xenia of Saint Petersburg","","c. 1803","","","","Yes7","","0.5"
"Xenophon of Robika","","1262","","","","Yes","","1"
"Yaropolk Izyaslavich","","1087","","","","Yes","","1"
"Yegor Chekryakovsky","","1928","","","","Yes","","1"
"Yrieix","","591","","","","Yes","Yes","2"
"Pope Zachary","","752","","","","Yes","Yes","2"
"Zdislava Berka","","1252","","","","","Yes","1"
"Zita","","1272","","","","","Yes","1"
"Zofia Szydlowiecka","","1551","","","","","Yes","1"
"Zosimas of Palestine","","560","","","Yes","Yes","","2"
"Zygmunt Gorazdowski","","1920","","","","","Yes","1"

